Id, ChartId
35699,chartId_1448507329529_0.8259262846459322
24971,chartId_1437395639108_0.18516032594346238
15936,chartId_1425440641969_0.38028644089359076
37626,chartId_1450423809034_0.7287842638324946
57014,chartId_1471889691930_0.1259403326548636
46013,chartId_1458728593169_0.1400226210244
13193,chartId_1419879421887_0.2379753135350327
31502,chartId_1444748698862_0.7506115925054676
14125,chartId_1422007969428_0.4244961711000597
2269,chartId_1384827675573_0.6668093018475681
22435,chartId_1434544809270_0.17652063216807467
2930,chartId_1392076522644_0.4150134452829051
12466,chartId_1418046992552_0.18225913962295331
39705,chartId_1453073385498_0.23478323593735695
16357,chartId_1426260277312_0.41506518912501633
34880,chartId_1447724078408_0.825423441071168
11528,chartId_1415918612767_0.3954070796277732
36405,chartId_1449234917556_0.9367573153318243
56057,chartId_1470371860873_0.33603835897520185
26450,chartId_1439468919529_0.6879466823358797
10499,chartId_1413484468763_0.45448034858561564
41397,chartId_1454551124193_0.20376934813097314
1054,chartId_1371600889111_0.900982423455688
45086,chartId_1457916627000_0.17902309750206769
47411,chartId_1460240973693_0.9131230490947828
179,chartId_1366957109032_0.8363522554359847
50072,chartId_1462568512665_0.861207561481096
56012,chartId_1470290716760_0.7869784129617904
40306,chartId_1453561851909_0.8545447344648858
55012,chartId_1468201660177_0.8069184893034766
39054,chartId_1452483932639_0.9587593631188013
58371,chartId_1474116713506_0.9926209588657036
9566,chartId_1411484729481_0.8302520894844949
3256,chartId_1395546265037_0.6045067691898081
50456,chartId_1463022636470_0.48272896749514804
40170,chartId_1453432534729_0.7236861924175173
12103,chartId_1417203161991_0.338688908908672
45850,chartId_1458610947820_0.4961788086220622
53709,chartId_1466477407900_0.7906926418618232
27229,chartId_1440504180108_0.8180226206261862
32808,chartId_1445872743150_0.9040357566145267
41630,chartId_1454848587823_0.18815053767271717
56552,chartId_1471262038379_0.23721787985414267
21486,chartId_1433310789576_0.6250661630753626
53049,chartId_1465805056327_0.8707766750208263
36400,chartId_1449236056586_0.269805454934662
57648,chartId_1472581196671_0.1323451325092161
2852,chartId_1391818147456_0.7710294103804012
21433,chartId_1433236574513_0.7824001585292208
14338,chartId_1422437383594_0.34099392668408185
26311,chartId_1439223457753_0.9030659695297083
7884,chartId_1407085362839_0.8962122567986747
39468,chartId_1452779429372_0.1460643159152909
16513,chartId_1426597047061_0.4165326021462837
27431,chartId_1440678850812_0.16281503556144433
44606,chartId_1457459545700_0.9592773202956384
2557,chartId_1387871092709_0.9470196102164983
17221,chartId_1427664279994_0.5888651079054163
43833,chartId_1456833287044_0.612583429545869
42151,chartId_1455281932392_0.3493474012542135
29228,chartId_1442844979970_0.6086461395324676
44663,chartId_1457477982458_0.2493134788237512
24287,chartId_1436497690914_0.1399365541743669
11956,chartId_1416847480634_0.2910565259179232
18258,chartId_1429187419084_0.06804881613309316
26423,chartId_1439433953954_0.241574874659587
10289,chartId_1381332458646_0.47602746492818015
56247,chartId_1470754473424_0.05899317864070558
19387,chartId_1430668142050_0.6598750413637289
42176,chartId_1455310480115_0.5845504237892776
49812,chartId_1462355618525_0.29750548559240997
40934,chartId_1454088593895_0.5771462254148301
9075,chartId_1410414388885_0.286489272507458
42001,chartId_1455147564183_0.41383152074631363
47053,chartId_1459904077769_0.9432312628714614
51603,chartId_1464160152707_0.1325059884144037
18654,chartId_1429686830282_0.08466249901291323
48736,chartId_1461254292518_0.35192691544777577
211,chartId_1367646325294_0.8012825669956251
45255,chartId_1458028098037_0.35240759055291704
1105,chartId_1372119805879_0.6795984673596103
50,chartId_1365301840363_0.6710714210142838
55155,chartId_1468444768533_0.7398859523794801
43625,chartId_1456709538468_0.20465452973346154
29495,chartId_1443016735910_0.03302795572150491
57856,chartId_1472764655707_0.2524877096115924
43687,chartId_1456751875914_0.7759257773540775
18548,chartId_1429570739690_0.6720305462367833
28344,chartId_1441825938503_0.23910030286925216
50266,chartId_1462886990007_0.07254280359484255
20335,chartId_1431935849385_0.25049484007412226
43942,chartId_1456915976143_0.5382018565616179
25750,chartId_1438291608077_0.16130944121601648
27714,chartId_1441049779294_0.23964574890382195
50219,chartId_1462826312320_0.8323015058396848
50554,chartId_1463067471727_0.7370157101577093
22483,chartId_1434591295047_0.38380698342026376
48181,chartId_1460838760793_0.37806708259196076
21946,chartId_1433883212542_0.232333801606527
17638,chartId_1428190209444_0.2612494015676806
6110,chartId_1401988556364_0.19469208921569686
28424,chartId_1441905931459_0.7981965978462482
20693,chartId_1432228369225_0.10090286214835942
55015,chartId_1468231021242_0.2153628283926618
6915,chartId_1403828270296_0.5128759053822546
20314,chartId_1431892322956_0.8958210025174829
17917,chartId_1428628931653_0.6413499879579552
46522,chartId_1459328549922_0.57148555942828
5668,chartId_1401382630427_0.27993912917564906
11663,chartId_1416243067374_0.803493813598581
19190,chartId_1430378445113_0.07426175281311098
51591,chartId_1464138577932_0.764694266486913
35056,chartId_1447840530392_0.2917214119172607
55761,chartId_1469695675490_0.764589003178753
30507,chartId_1443820529669_0.22981276541411372
48962,chartId_1461531096671_0.9570638630948574
36984,chartId_1449749635696_0.42117624000887693
53325,chartId_1466026974675_0.6154823417191855
54776,chartId_1467724940504_0.15131318285005657
9467,chartId_1411141127521_0.45006761634539316
33799,chartId_1446750359504_0.34882312107012186
21047,chartId_1432710982714_0.20060289278626442
36267,chartId_1449120133829_0.9068772038444877
31668,chartId_1444854865662_0.5719770546123657
36393,chartId_1449223951890_0.662212576994914
30628,chartId_1443946428611_0.028578819939866662
5722,chartId_1401415998929_0.5396012086093431
7151,chartId_1404240087142_0.5279822099375226
26498,chartId_1439498938848_0.9431984391409811
45823,chartId_1458584056693_0.46602256882707404
2368,chartId_1386043196461_0.8729520661481356
14537,chartId_1422917894607_0.9022065786390279
6702,chartId_1403610584879_0.28800468351444996
27713,chartId_1441049776913_0.7920217888895422
9258,chartId_1410810645197_0.35449706089816723
39641,chartId_1452888807403_0.3456332693665571
10107,chartId_1412566745171_0.7547174828859776
9552,chartId_1411457964107_0.779239298815597
